country,date,cases
Netherlands,2021-01-01,4289.0
Netherlands,2021-01-01,1458.0
Netherlands,2021-01-01,805164.0
New Zealand,2021-01-01,0.0
New Zealand,2021-01-01,2162.0
Nicaragua,2021-01-01,6046.0
Niger,2021-01-01,3403.0
Nigeria,2021-01-01,88587.0
North Macedonia,2021-01-01,83743.0
Norway,2021-01-01,49803.0
Oman,2021-01-01,128867.0
Pakistan,2021-01-01,484362.0
Palau,2021-01-01,0.0
Panama,2021-01-01,249733.0
Papua New Guinea,2021-01-01,780.0
Paraguay,2021-01-01,108349.0
Peru,2021-01-01,1015137.0
Philippines,2021-01-01,475820.0
Poland,2021-01-01,1305774.0
Portugal,2021-01-01,420629.0
Qatar,2021-01-01,144042.0
Romania,2021-01-01,636201.0
Russia,2021-01-01,3153960.0
Rwanda,2021-01-01,8460.0
Saint Kitts and Nevis,2021-01-01,32.0
Saint Lucia,2021-01-01,353.0
Saint Vincent and the Grenadines,2021-01-01,121.0
Samoa,2021-01-01,2.0
San Marino,2021-01-01,2428.0
Sao Tome and Principe,2021-01-01,1022.0
Saudi Arabia,2021-01-01,362878.0
Senegal,2021-01-01,19364.0
Serbia,2021-01-01,339997.0
Seychelles,2021-01-01,256.0
Sierra Leone,2021-01-01,2635.0
Singapore,2021-01-01,58629.0
Slovakia,2021-01-01,184508.0
Slovenia,2021-01-01,123950.0
Solomon Islands,2021-01-01,17.0
Somalia,2021-01-01,4714.0
South Africa,2021-01-01,1073887.0
South Sudan,2021-01-01,3558.0
Spain,2021-01-01,1928265.0
Sri Lanka,2021-01-01,43856.0
Sudan,2021-01-01,25730.0
Suriname,2021-01-01,6277.0
Sweden,2021-01-01,437379.0
Switzerland,2021-01-01,452296.0
Syria,2021-01-01,11526.0
Taiwan*,2021-01-01,802.0
Tajikistan,2021-01-01,13296.0
Tanzania,2021-01-01,509.0
Thailand,2021-01-01,7379.0
Timor-Leste,2021-01-01,44.0
Togo,2021-01-01,3662.0
Trinidad and Tobago,2021-01-01,7158.0
Tunisia,2021-01-01,140557.0
Turkey,2021-01-01,2220855.0
US,2021-01-01,20254160.0
Uganda,2021-01-01,35511.0
Ukraine,2021-01-01,1096855.0
United Arab Emirates,2021-01-01,209678.0
United Kingdom,2021-01-01,13.0
United Kingdom,2021-01-01,604.0
United Kingdom,2021-01-01,86.0
United Kingdom,2021-01-01,338.0
United Kingdom,2021-01-01,3059.0
United Kingdom,2021-01-01,29.0
United Kingdom,2021-01-01,2212.0
United Kingdom,2021-01-01,377.0
United Kingdom,2021-01-01,13.0
United Kingdom,2021-01-01,4.0
United Kingdom,2021-01-01,893.0
United Kingdom,2021-01-01,2542065.0
Uruguay,2021-01-01,19753.0
Uzbekistan,2021-01-01,77182.0
Vanuatu,2021-01-01,1.0
Venezuela,2021-01-01,113884.0
Vietnam,2021-01-01,1474.0
West Bank and Gaza,2021-01-01,139223.0
Yemen,2021-01-01,2101.0
Zambia,2021-01-01,20997.0
Zimbabwe,2021-01-01,14084.0
Afghanistan,2021-02-01,55059.0
Albania,2021-02-01,78992.0
Algeria,2021-02-01,107578.0
Andorra,2021-02-01,9972.0
Angola,2021-02-01,19829.0
Antigua and Barbuda,2021-02-01,234.0
Argentina,2021-02-01,1933853.0
Armenia,2021-02-01,167088.0
Australia,2021-02-01,118.0
Australia,2021-02-01,5112.0
Australia,2021-02-01,98.0
Australia,2021-02-01,1311.0
Australia,2021-02-01,597.0
Australia,2021-02-01,234.0
Australia,2021-02-01,20450.0
Australia,2021-02-01,903.0
Austria,2021-02-01,415522.0
Azerbaijan,2021-02-01,230296.0
Bahamas,2021-02-01,8174.0
Bahrain,2021-02-01,103582.0
Bangladesh,2021-02-01,535582.0
Barbados,2021-02-01,1558.0
Belarus,2021-02-01,249295.0
Belgium,2021-02-01,711417.0
Belize,2021-02-01,11945.0
Benin,2021-02-01,3893.0
Bhutan,2021-02-01,859.0
Bolivia,2021-02-01,218299.0
Bosnia and Herzegovina,2021-02-01,122199.0
Botswana,2021-02-01,22738.0
Brazil,2021-02-01,9229322.0
Brunei,2021-02-01,180.0
Bulgaria,2021-02-01,219580.0
Burkina Faso,2021-02-01,10768.0
Burma,2021-02-01,140354.0
Burundi,2021-02-01,1635.0
Cabo Verde,2021-02-01,14098.0
Cambodia,2021-02-01,466.0
Cameroon,2021-02-01,29617.0
Canada,2021-02-01,124563.0
Canada,2021-02-01,67937.0
Canada,2021-02-01,0.0
Canada,2021-02-01,13.0
Canada,2021-02-01,29651.0
Canada,2021-02-01,1264.0
Canada,2021-02-01,408.0
Canada,2021-02-01,35.0
Canada,2021-02-01,1581.0
Canada,2021-02-01,294.0
Canada,2021-02-01,274773.0
Canada,2021-02-01,111.0
Canada,2021-02-01,263473.0
Canada,2021-02-01,13.0
Canada,2021-02-01,24011.0
Canada,2021-02-01,70.0
Central African Republic,2021-02-01,4989.0
Chad,2021-02-01,3385.0
Chile,2021-02-01,730888.0
China,2021-02-01,994.0
China,2021-02-01,1039.0
China,2021-02-01,591.0
China,2021-02-01,541.0
China,2021-02-01,187.0
China,2021-02-01,2127.0
China,2021-02-01,267.0
China,2021-02-01,147.0
China,2021-02-01,171.0
China,2021-02-01,1313.0
China,2021-02-01,1591.0
China,2021-02-01,1303.0
China,2021-02-01,10486.0
China,2021-02-01,68150.0
China,2021-02-01,1032.0
China,2021-02-01,366.0
China,2021-02-01,697.0
China,2021-02-01,935.0
China,2021-02-01,555.0
China,2021-02-01,402.0
China,2021-02-01,47.0
China,2021-02-01,75.0
China,2021-02-01,18.0
China,2021-02-01,540.0
China,2021-02-01,866.0
China,2021-02-01,1705.0
China,2021-02-01,239.0
China,2021-02-01,871.0
China,2021-02-01,344.0
China,2021-02-01,1.0
China,2021-02-01,0.0
China,2021-02-01,980.0
China,2021-02-01,231.0
China,2021-02-01,1316.0
Colombia,2021-02-01,2104506.0
Comoros,2021-02-01,2811.0
Congo (Brazzaville),2021-02-01,7887.0
Congo (Kinshasa),2021-02-01,22842.0
Costa Rica,2021-02-01,194569.0
Cote d'Ivoire,2021-02-01,28475.0
Croatia,2021-02-01,232520.0
Cuba,2021-02-01,27592.0
Cyprus,2021-02-01,30996.0
Czechia,2021-02-01,987329.0
Denmark,2021-02-01,654.0
Denmark,2021-02-01,30.0
Denmark,2021-02-01,198960.0
Diamond Princess,2021-02-01,712.0
Djibouti,2021-02-01,5932.0
Dominica,2021-02-01,117.0
Dominican Republic,2021-02-01,215086.0
Ecuador,2021-02-01,250986.0
Egypt,2021-02-01,166492.0
El Salvador,2021-02-01,55195.0
Equatorial Guinea,2021-02-01,5534.0
Eritrea,2021-02-01,2135.0
Estonia,2021-02-01,44575.0
Eswatini,2021-02-01,15804.0
Ethiopia,2021-02-01,138384.0
Fiji,2021-02-01,55.0
Finland,2021-02-01,45482.0
France,2021-02-01,16083.0
France,2021-02-01,18101.0
France,2021-02-01,9156.0
France,2021-02-01,6370.0
France,2021-02-01,8231.0
France,2021-02-01,47.0
France,2021-02-01,9996.0
France,2021-02-01,360.0
France,2021-02-01,24.0
France,2021-02-01,1234.0
France,2021-02-01,5.0
France,2021-02-01,3190701.0
Gabon,2021-02-01,10952.0
Gambia,2021-02-01,4139.0
Georgia,2021-02-01,258351.0
Germany,2021-02-01,2232327.0
Ghana,2021-02-01,67010.0
Greece,2021-02-01,157495.0
Grenada,2021-02-01,148.0
Guatemala,2021-02-01,159632.0
Guinea,2021-02-01,14555.0
Guinea-Bissau,2021-02-01,2634.0
Guyana,2021-02-01,7654.0
Haiti,2021-02-01,11533.0
Holy See,2021-02-01,27.0
Honduras,2021-02-01,147843.0
Hungary,2021-02-01,368710.0
Iceland,2021-02-01,6009.0
India,2021-02-01,10766245.0
Indonesia,2021-02-01,1089308.0
Iran,2021-02-01,1424596.0
Iraq,2021-02-01,620620.0
Ireland,2021-02-01,197553.0
Israel,2021-02-01,652246.0
Italy,2021-02-01,2560957.0
Jamaica,2021-02-01,15778.0
Japan,2021-02-01,391956.0
Jordan,2021-02-01,328062.0
Kazakhstan,2021-02-01,237029.0
Kenya,2021-02-01,100856.0
Kiribati,2021-02-01,0.0
"Korea, South",2021-02-01,78844.0
Kosovo,2021-02-01,60218.0
Kuwait,2021-02-01,165843.0
Kyrgyzstan,2021-02-01,84588.0
Laos,2021-02-01,44.0
Latvia,2021-02-01,66652.0
Lebanon,2021-02-01,303072.0
Lesotho,2021-02-01,8900.0
Liberia,2021-02-01,1944.0
Libya,2021-02-01,119402.0
Liechtenstein,2021-02-01,2497.0
Lithuania,2021-02-01,182898.0
Luxembourg,2021-02-01,50733.0
MS Zaandam,2021-02-01,9.0
Madagascar,2021-02-01,19065.0
Malawi,2021-02-01,24365.0
Malaysia,2021-02-01,219173.0
Maldives,2021-02-01,16056.0
Mali,2021-02-01,8100.0
Malta,2021-02-01,18027.0
Marshall Islands,2021-02-01,4.0
Mauritania,2021-02-01,16662.0
Mauritius,2021-02-01,582.0
Mexico,2021-02-01,1869708.0
Micronesia,2021-02-01,1.0
Moldova,2021-02-01,160086.0
Monaco,2021-02-01,1499.0
Mongolia,2021-02-01,1832.0
Montenegro,2021-02-01,61972.0
Morocco,2021-02-01,471438.0
Mozambique,2021-02-01,39460.0
Namibia,2021-02-01,34168.0
Nepal,2021-02-01,271118.0
Netherlands,2021-02-01,6986.0
Netherlands,2021-02-01,196.0
Netherlands,2021-02-01,4585.0
Netherlands,2021-02-01,1870.0
Netherlands,2021-02-01,981663.0
New Zealand,2021-02-01,0.0
New Zealand,2021-02-01,2307.0
Nicaragua,2021-02-01,6253.0
Niger,2021-02-01,4537.0
Nigeria,2021-02-01,131918.0
North Macedonia,2021-02-01,92753.0
Norway,2021-02-01,63262.0
Oman,2021-02-01,134524.0
Pakistan,2021-02-01,547648.0
Palau,2021-02-01,0.0
Panama,2021-02-01,321103.0
Papua New Guinea,2021-02-01,867.0
Paraguay,2021-02-01,133781.0
Peru,2021-02-01,1138239.0
Philippines,2021-02-01,527272.0
Poland,2021-02-01,1515889.0
Portugal,2021-02-01,726321.0
Qatar,2021-02-01,151720.0
Romania,2021-02-01,730056.0
Russia,2021-02-01,3825739.0
Rwanda,2021-02-01,15459.0
Saint Kitts and Nevis,2021-02-01,38.0
Saint Lucia,2021-02-01,1411.0
Saint Vincent and the Grenadines,2021-02-01,901.0
Samoa,2021-02-01,2.0
San Marino,2021-02-01,3025.0
Sao Tome and Principe,2021-02-01,1259.0
Saudi Arabia,2021-02-01,368329.0
Senegal,2021-02-01,26927.0
Serbia,2021-02-01,397002.0
Seychelles,2021-02-01,1223.0
Sierra Leone,2021-02-01,3634.0
Singapore,2021-02-01,59565.0
Slovakia,2021-02-01,250357.0
Slovenia,2021-02-01,166836.0
Solomon Islands,2021-02-01,17.0
Somalia,2021-02-01,4784.0
South Africa,2021-02-01,1456309.0
